country,Year,coffee_domestic_consumption_kg,coffee_importers_consumption_kg,coffee_total_consumption_kg,coffee_imports_kg,coffee_exports_kg,coffee_production_kg,population,coffee_per_capita_kg_per_person,gdp_per_person_employed_constppp,iso3_x,iso3_y,iso3,Share of total deaths in both sexes in those aged all ages that are from digestive diseases,Share of total deaths in both sexes in those aged all ages that are from infectious and parasitic diseases,Share of total deaths in both sexes in those aged all ages that are from respiratory diseases,"Share of total deaths in both sexes in those aged all ages that are from diabetes mellitus, blood and endocrine disorders",Share of total deaths in both sexes in those aged all ages that are from intentional injuries,Share of total deaths in both sexes in those aged all ages that are from perinatal conditions,Share of total deaths in both sexes in those aged all ages that are from respiratory infections,Share of total deaths in both sexes in those aged all ages that are from neuropsychiatric conditions,Share of total deaths in both sexes in those aged all ages that are from malignant neoplasms,Share of total deaths in both sexes in those aged all ages that are from cardiovascular diseases,Share of total deaths in both sexes in those aged all ages that are from ill-defined injuries,Share of total deaths in both sexes in those aged all ages that are from musculoskeletal diseases,Share of total deaths in both sexes in those aged all ages that are from congenital anomalies,Share of total deaths in both sexes in those aged all ages that are from maternal conditions,Share of total deaths in both sexes in those aged all ages that are from nutritional deficiencies,Share of total deaths in both sexes in those aged all ages that are from other neoplasms,Share of total deaths in both sexes in those aged all ages that are from skin diseases,Share of total deaths in both sexes in those aged all ages that are from unintentional injuries,Share of total deaths in both sexes in those aged all ages that are from ill-defined diseases,Share of total deaths in both sexes in those aged all ages that are from genitourinary diseases,units_note
   Austria,2008,,54480000.0,54480000.0,114060000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,2009,,53160000.0,53160000.0,78540000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,2010,,54180000.0,54180000.0,82140000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,2011,,67020000.0,67020000.0,87120000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,2012,,76140000.0,76140000.0,93540000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,2013,,74940000.0,74940000.0,93300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,2014,,68100000.0,68100000.0,91500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,2015,,68160000.0,68160000.0,90780000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,2016,,71580000.0,71580000.0,89700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,2017,,69720000.0,69720000.0,87600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,2018,,70320000.0,70320000.0,85740000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Austria,2019,,70380000.0,70380000.0,86880000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,1990,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,1991,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,1992,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,1993,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,1994,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,1995,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,1996,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,1997,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,1998,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,1999,,50040000.0,50040000.0,180180000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2000,,67980000.0,67980000.0,209460000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2001,,53040000.0,53040000.0,192540000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2002,,89040000.0,89040000.0,227520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2003,,94740000.0,94740000.0,229080000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2004,,83760000.0,83760000.0,238080000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2005,,69480000.0,69480000.0,243780000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2006,,92220000.0,92220000.0,276300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2007,,66180000.0,66180000.0,240840000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2008,,39000000.0,39000000.0,407520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2009,,56040000.0,56040000.0,354960000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2010,,52260000.0,52260000.0,355440000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2011,,56040000.0,56040000.0,349680000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2012,,54900000.0,54900000.0,340080000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2013,,74700000.0,74700000.0,330120000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2014,,75540000.0,75540000.0,312720000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2015,,64440000.0,64440000.0,332040000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2016,,90120000.0,90120000.0,363120000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2017,,78000000.0,78000000.0,340620000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2018,,81900000.0,81900000.0,344520000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium,2019,,71100000.0,71100000.0,371940000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
   Belgium/Luxembourg,1990,,67440000.0,67440000.0,120900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coffee_total_consumption_kg = domestic + importers consumption (kg); coffee_imports_kg & coffee_exports_kg = trade flows (kg); coffee_per_capita_kg_per_person = total consumption / population; population & GDP/person employed from World Bank (const PPP); CVD/cancer rates: deaths per 100k (age-standardized preferred); share-of-deaths columns = proportion of total deaths by cause.
